1/f,r0
5134.11521693796, 521.8703393840187
7219.380915022295, 693.5891320088285
8702.841196857902, 847.420884714078
10186.30147869351, 972.5270744254376
11477.104581069943, 1114.944557664845
13153.222042364723, 1254.835856357111
15176.122426686, 1464.1692694391004
16852.23988798078, 1624.2116918336906
17918.276280988182, 1714.6649835161807
19626.503272192822, 1889.1094944178385
21649.4036565141, 2082.2641421354474
23807.164066456804, 2287.3052297125996
25964.9244763995, 2492.346317289752
27987.824860720786, 2685.5009650073607
29663.94232201556, 2841.4397355456786
30762.088244932827, 2948.842209990855
32438.2057062276, 3107.469580021212
34461.106090548885, 3300.624227738821
35305.91775325979, 3371.1507293354935
35947.84353059179, 3423.014586709887
36618.86650049158, 3507.646388625897
38776.62691043429, 3712.687476203051
40799.52729475557, 3904.851587265697
42475.64475605034, 4066.450567260941
43573.7906789676, 4172.296484105462
45249.90814026238, 4330.782348899396
47272.80852458366, 4522.946459962042
49430.56893452636, 4726.9970108842335
51588.32934446906, 4935.009708426274
53611.22972879034, 5129.154892798844
55287.34719008512, 5286.7917261742405
56385.49311300238, 5394.194200619415
58061.61057429716, 5551.123507812694
60084.51095861845, 5747.249765495189
62242.271368561145, 5952.290853072343
64265.17175288243, 6145.4455007899505
66422.93216282513, 6357.420344951837
68580.69257276782, 6563.451969183954
70738.45298271053, 6767.502520106144
72761.35336703181, 6961.647704478715
74437.4708283266, 7123.529694946806
75535.61675124386, 7226.262496590018
77211.73421253863, 7385.5973928024905
79099.7745712385, 7565.765004377263
79759.27783350053, 7623.987034035657
